None,content_type,title,director,cast,country,date_added,release_year,rating,duration,genres,description,date_added_formatted
s6622,Movie,dolphin kick,philip marlatt,"axle mccoy, travis mccoy, tyler jade nixon, alexis louder, devaughn gow, lavaughn hamilton, maya simmons, quddus newton, jordan padreira, derek lee nixon",usa,2019-06-05,2019,tv-pg,1h 30m,children & family movies,"After losing his mom, 10-year-old Luke abandons competitive swimming. It takes a friendly dolphin to get him back in the water – and help him heal.",05-06-2019
s6623,Movie,dolphin tale 2,charles martin smith,"morgan freeman, ashley judd, harry connick jr., kris kristofferson, nathan gamble, austin stowell, juliana harkavy, charles martin smith, austin highsmith, cozi zuehlsdorff",usa,2019-02-25,2014,pg,1h 47m,"children & family movies, dramas","Winter the dolphin, who survived a tragic injury by receiving a prosthetic tail, bonds with an orphaned baby dolphin after her beloved pool mate dies.",25-02-2019
s6624,Movie,domino,brian de palma,"nikolaj coster-waldau, carice van houten, eriq ebouaney, guy pearce, mohammed azaay, søren malling, paprika steen, helena kaittani","denmark, france, belgium, italy, netherlands, usa, uk",2019-09-28,2019,r,1h 29m,"international movies, thrillers","A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",28-09-2019
s6625,Movie,don quixote: the ingenious gentleman of la mancha,"mahin ibrahim, austin kolodney, will lowell, david beier, dave dorsey, xu zhang, alana waksman, jon yonkondy, drue metz, brandon somerhalder","carmen argenziano, horatio sanz, luis guzman, vera cherny, lorena mcgregor, reinaldo zavarce, jacquie barnbrook, anthony skordi, lin shaye, james franco",usa,2018-01-05,2015,tv-14,1h 23m,"comedies, independent movies","In this modern adaptation of a Spanish classic, an eccentric, elderly gentleman sets out with his honest sidekick to right the wrongs of the world.",05-01-2018
s6626,Movie,don verdean,jared hess,"sam rockwell, amy ryan, will forte, danny mcbride, jemaine clement, leslie bibb, steve park, sky elobar, p.j. boudousqué, yaniv moyal",usa,2020-03-01,2015,pg-13,1h 36m,comedies,"A questionable character working as a self-styled ""biblical archaeologist"" advances his cause by creating phony religious artifacts.",01-03-2020
s6627,Movie,don't be afraid of the dark,troy nixey,"katie holmes, guy pearce, bailee madison, jack thompson, garry mcdonald, alan dale, julia blake, edwina ritchard, emilia burns, guillermo del toro","usa, australia, mexico",2019-11-02,2010,r,1h 39m,horror movies,Young Sally Hurst discovers she isn't alone in her new house: strange creatures live there – and they might not be as friendly as Sally thinks.,02-11-2019
s6628,Movie,don't crack under pressure,thierry donard,"davide carrera, jesse richman, loic collomb-patton, wille lindberg, matt annetts",france,2020-06-12,2015,tv-ma,1h 35m,"action & adventure, documentaries, international movies","There are risks. Then there are risk-takers. In an around-the-world trip, follow athletes perform jaw-dropping acts in unpredictable elements of nature.",12-06-2020
s6629,Movie,don't crack under pressure ii,thierry donard,"davide carrera, eric duguil, jesse richman, richie jackson, loic collomb-patton, wille lindberg, matt annetts",france,2020-06-12,2016,tv-ma,1h 28m,"action & adventure, documentaries, international movies","Using state-of-the-art technology, this stunning sequel follows athletes pulling off daring feats under extreme conditions in extraordinary locations.",12-06-2020
s6630,Movie,don't crack under pressure iii,thierry donard,"temarii buillard, davide carrera, jesse richman, loic collomb-patton, wille lindberg, matt annetts",france,2020-06-12,2017,tv-14,1h 34m,"action & adventure, documentaries, international movies","Through deserts, above mountains and deep into oceans, elite athletes — both veteran and new — form bonds and pursue adventure in sumptuous landscapes.",12-06-2020
s6631,Movie,don't knock twice,caradog w. james,"katee sackhoff, lucy boynton, richard mylan, nick moran, pascale wilson, javier botet, pooneh hajimohammadi, sarah buckland",uk,2019-02-08,2016,r,1h 33m,"horror movies, international movies",A recovering addict becomes her estranged daughter's only hope after the teen awakens a terrifying child-stealing witch from an urban legend.,08-02-2019
s6632,Movie,don't look down,daniel gordon,richard branson,uk,2017-04-01,2016,tv-ma,1h 33m,"documentaries, international movies","Aided by dramatic reconstructions and archive footage, Sir Richard Branson recounts his daring attempts to break hot air balloon records.",01-04-2017
s6633,Movie,don't think twice,mike birbiglia,"keegan-michael key, gillian jacobs, mike birbiglia, kate micucci, chris gethard, richard masur, tami sagher, erin darke",usa,2017-05-01,2016,r,1h 32m,"comedies, dramas, independent movies",Six talented but struggling improv comics see a sudden shift in their troupe's dynamic after one of them lands a much-coveted gig on television.,01-05-2017
s6634,Movie,donnie brasco,mike newell,"al pacino, johnny depp, michael madsen, bruno kirby, james russo, anne heche, zeljko ivanek, gerry becker, robert miano, zach grenier",usa,2020-01-01,1997,r,2h 7m,"dramas, thrillers","When FBI agent Joe Pistone goes undercover to infiltrate the mob, he starts to identify with the made men he's charged with taking down.",01-01-2020
s6635,Movie,doom,andrzej bartkowiak,"karl urban, rosamund pike, dwayne johnson, deobia oparei, ben daniels, razaaq adoti, richard brake, dexter fletcher, al weaver, brian steele","uk, czech republic, germany, usa",2020-11-01,2005,r,1h 45m,"action & adventure, horror movies, sci-fi & fantasy",A special ops squad investigating a distress signal from a distant planet discovers that mutant aliens have already wiped out most of the population.,01-11-2020
s6636,TV Show,doomsday preppers,none,michael izquierdo,usa,2019-03-01,2013,tv-14,1 Season,"reality tv, science & nature tv",This series highlights a diverse group of survivalists as they prepare for various catastrophic scenarios that could cause civilization to collapse.,01-03-2019
s6637,Movie,doubles cause troubles,wong jing,"carol 'do do' cheng, maggie cheung, wilson lam, chan pak-cheung, charlie cho, tom poon, kwan ming-yuk, hon yee-sang, sherman wong, lo fan",hong kong,2018-08-01,1989,tv-14,1h 34m,"action & adventure, comedies, international movies","When the tenant in their flat dies under suspicious circumstances, two bickering cousins are forced to navigate both sides of the law.",01-08-2018
s6638,Movie,doubt,john patrick shanley,"meryl streep, philip seymour hoffman, amy adams, viola davis, alice drummond, audrie neenan, susan blommaert, carrie preston, lydia jordan, lloyd clay brown",usa,2019-03-07,2008,pg-13,1h 44m,"dramas, faith & spirituality","Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",07-03-2019
s6639,Movie,down the fence,m.j. isakson,none,usa,2018-01-15,2017,tv-pg,1h 34m,documentaries,"The human-equine bond propels the unique and challenging sport of reined cow horse, in which dedicated trainers compete for the national championship.",15-01-2018
s6640,Movie,dr. seuss' the cat in the hat,bo welch,"mike myers, alec baldwin, kelly preston, dakota fanning, spencer breslin, amy hill, sean hayes, dan castellaneta",usa,2019-05-01,2003,pg,1h 22m,"children & family movies, comedies","While Mom is away, a bored little boy and girl are visited by the Cat in the Hat, who proceeds to turn the house into the ""mother of all messes.""",01-05-2019
s6641,Movie,dr. seuss' the grinch,"scott mosier, yarrow cheney","benedict cumberbatch, cameron seely, rashida jones, pharrell williams, kenan thompson, angela lansbury","france, china, japan, usa",2019-06-05,2018,pg,1h 26m,"children & family movies, comedies",A grump with a mean streak plots to bring Christmas to a halt in the cheerful town of Whoville. But a generous little girl could change his heart.,05-06-2019
s6642,Movie,dragonheart,rob cohen,"sean connery, dennis quaid, david thewlis, pete postlethwaite, dina meyer, jason isaacs, brian thompson, julie christie",usa,2020-01-01,1996,pg-13,1h 43m,"action & adventure, sci-fi & fantasy","In ancient times when majestic fire-breathers soared through the skies, a knight comes face to face and heart to heart with the last dragon on Earth.",01-01-2020
s6643,Movie,dragonheart 3: the sorcerer,colin teague,"julian morris, tamzin merchant, ben kingsley, jassa ahluwalia, jonjo o'neill, dominic mafham, roger ashton-griffiths, jake curran, duncan preston, ozama oancea",usa,2020-01-01,2015,pg-13,1h 37m,"action & adventure, sci-fi & fantasy","When an aspiring knight crosses paths with a dragon, the two form an unlikely alliance in a high-stakes battle against a malicious sorcerer.",01-01-2020
s6644,Movie,dragonheart: a new beginning,doug lefler,"christopher masterson, harry van gorkum, rona figueroa, matt hickey, henry o, tom burke, robby benson, ken shorter, john woodnutt, lubomir misak",usa,2020-01-01,2000,pg,1h 24m,"action & adventure, sci-fi & fantasy","This sequel introduces Draco the dragon's offspring, Drake, who dreams of becoming a knight and teams up with a stable boy to master his skills.",01-01-2020
s6645,Movie,dragonheart: battle for the heartfire,patrik syversen,"tom rhys harries, jessamine-bliss bell, patrick stewart, andré eriksen, richard cordery, martin hutson, turlough convery, delroy brown, tamzin merchant",usa,2017-06-13,2017,pg-13,1h 38m,"action & adventure, sci-fi & fantasy","When the king of Brittania dies, the dragon who shares his heart must find a new ruler, but the monarch's grandchildren go to war over the throne.",13-06-2017
s6646,Movie,dragonkala ka rahasya,rajiv chilaka,none,none,2019-06-18,2018,tv-y,1h 8m,children & family movies,"Bheem helps to reopen Dragonpur's abandoned magic and martial arts school, but is tested like never before when an ex-student returns seeking revenge!",18-06-2019
s6647,TV Show,dramaworld,none,"liv hewson, sean dulake, justin chon, noo-ri bae, sa-hee kim, jimmy shubert","usa, south korea, china",2016-05-23,2016,tv-14,1 Season,"romantic tv shows, tv comedies, tv dramas","A huge fan of a Korean TV drama is transported to a magical realm where she has the power to alter her favorite show's story line as a ""Facilitator.""",23-05-2016
s6648,Movie,dream big: engineering our world,greg macgillivray,jeff bridges,usa,2018-07-01,2017,tv-g,42m,documentaries,"Narrated by Jeff Bridges, this compelling documentary examines some incredible achievements of engineering from across the globe.",01-07-2018
s6649,Movie,dream boat,tristan ferland milewski,none,germany,2017-12-01,2017,tv-ma,1h 32m,"documentaries, international movies, lgbtq movies","On a cruise for gay men, five passengers of different nationalities take a break from their families and cultures to party and reflect on life.",01-12-2017
s6650,Movie,dries,reiner holzemer,dries van noten,"germany, belgium",2018-01-01,2017,tv-pg,1h 29m,"documentaries, international movies",This documentary explores the intense passion and distinctive talent that make Dries Van Noten one of the most unique fashion designers in the world.,01-01-2018
s6651,Movie,driven to dance,none,"juliet doherty, kaitlyn black",usa,2019-01-16,2018,tv-pg,1h 39m,dramas,"A young dancer grapples with her dream to join a famed ballet company against the wishes of her mother, who pushes her to pursue a more practical path.",16-01-2019
s6652,TV Show,"drugs, inc.",none,mike secher,usa,2019-03-23,2015,tv-ma,1 Season,"crime tv shows, docuseries","This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.",23-03-2019
s6653,TV Show,dueños del paraíso,none,"kate del castillo, jorge zabaleta, josé maría torre, tony dalton, géraldine bazán, ximena duque, adriana barraza, juan pablo llano, daniela wong, tiago correa, margarita muñoz, miguel varoni, ariel texido, maría luisa flores, alberto jiménez, andrea lópez, maxi iglesias, jorge hernández, alberto mateo, sofía lama","usa, chile",2017-02-25,2015,tv-14,1 Season,"crime tv shows, international tv shows, spanish-language tv shows","When Anastasia Cardona's drug lord husband is murdered, she inherits his cocaine empire, leading to a life of wealth, power, violence and betrayal.",25-02-2017
s6654,Movie,dukhtar,afia nathaniel,"samiya mumtaz, mohib mirza, saleha aref, asif khan, adnan shah, ajab gul, abdullah jan, samina ahmad, omair rana, zeeshan shafa","pakistan, norway, usa",2016-09-01,2014,tv-14,1h 33m,"dramas, independent movies, international movies",A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.,01-09-2016
s6655,Movie,dum,eeshwar nivas,"vivek oberoi, diya mirza, atul kulkarni, govind namdeo, mukesh rishi, sushant singh, yashpal sharma, sheeba",india,2018-03-01,2003,tv-14,2h 42m,"action & adventure, dramas, international movies","When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice.",01-03-2018
s6656,Movie,dumb and dumberer: when harry met lloyd,troy miller,"eric christian olsen, derek richardson, rachel nichols, cheri oteri, luis guzmán, elden henson, william lee scott, mimi rogers, eugene levy",usa,2019-10-01,2003,pg-13,1h 25m,comedies,This wacky prequel to the 1994 blockbuster goes back to the lame-brained title characters' days as classmates at a Rhode Island high school.,01-10-2019
s6657,Movie,e-cigarettes: miracle or menace?,emma hatherley,michael mosley,uk,2019-02-01,2016,tv-14,52m,documentaries,This documentary investigates the surge in vaping culture and whether e-cigarettes can really help smokers kick the habit.,01-02-2019
s6658,Movie,earth to echo,dave green,"teo halm, astro, reese hartwig, ella wahlestedt, jason gray-stanford, algee smith, cassius willis, sonya leslie, kerry o'malley, virginia louise smith, peter mackenzie, valerie wildman",usa,2019-10-01,2014,pg,1h 31m,"children & family movies, sci-fi & fantasy","When a construction project begins in their neighborhood, four friends start receiving bizarre encoded text messages on their cell phones.",01-10-2019
s6659,TV Show,earth to luna!,none,"angelina carballo, raul-gomez pina, eric anderson",brazil,2020-04-10,2014,tv-y,1 Season,kids' tv,"Curious about everything and excited about science, 6-year-old Luna, her brother Jupiter and pet Clyde explore nature to learn about the world.",10-04-2020
s6660,TV Show,earth's natural wonders,none,olivia colman,uk,2017-03-01,2015,tv-pg,1 Season,"british tv shows, docuseries, science & nature tv",Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.,01-03-2017
s6661,TV Show,earth's natural wonders: life at the extremes,none,corey johnson,none,2018-10-01,2018,tv-14,1 Season,"british tv shows, docuseries, science & nature tv","From the Arctic to the Outback, humans battle the elements and use their ingenuity to survive in the most extreme environments in the world.",01-10-2018
s6662,Movie,east side sushi,anthony lucero,"diana elizabeth torres, yutaka takeuchi, rodrigo duarte clark, kaya jade aguirre, roji oyama, lane nishikawa, miyoko sakatani",usa,2020-09-15,2015,pg,1h 46m,dramas,"She’s not the usual candidate for the role, but a dogged Mexican-American mother makes it her mission to become a talented sushi chef.",15-09-2020
s6663,Movie,easy a,will gluck,"emma stone, penn badgley, amanda bynes, dan byrd, thomas haden church, patricia clarkson, cam gigandet, lisa kudrow, malcolm mcdowell, aly michalka",usa,2020-11-01,2010,pg-13,1h 32m,"comedies, romantic movies","When a lie about Olive's reputation transforms her from anonymous to infamous at her high school, she decides to embrace a provocative new persona.",01-11-2020
s6664,TV Show,easy fortune happy life,none,"lan cheng-lung, joe chen, roy chiu, jocelyn wang, chieh-kai shiou, ting chiang, wang chuan",taiwan,2016-09-01,2009,tv-ma,1 Season,"international tv shows, romantic tv shows, tv comedies","Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients.",01-09-2016
s6665,Movie,eat pray love,ryan murphy,"julia roberts, james franco, javier bardem, richard jenkins, viola davis, billy crudup, hadi subiyanto, mike o'malley, tuva novotny, luca argentero",usa,2019-09-10,2010,pg-13,2h 20m,"dramas, romantic movies","After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.",10-09-2019
s6666,Movie,eddie murphy: delirious,bruce gowers,eddie murphy,usa,2018-04-15,1983,tv-ma,1h 9m,stand-up comedy,"Flashing the wild stand-up comedy that made him a household name, Eddie Murphy unleashes uncensored observations and parodies in this 1983 live show.",15-04-2018
s6667,Movie,eeda,ajithkumar,"shane nigaam, nimisha sajayan, manikandan r. achari, alencier ley lopez, sujith sankar, p. balachandran, sudhi koppa",india,2018-09-15,2018,tv-14,2h 33m,"dramas, international movies, romantic movies",Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.,15-09-2018
s6668,Movie,eh janam tumhare lekhe,harjit singh,"pavan malhotra, sudhanshu aggarwal, arjuna bhalla, avrinder kaur, arvinder bhatti, master yuvraj, jai bharti, gagandeep singh",india,2017-12-01,2015,tv-14,2h 4m,"dramas, international movies","Driven by the lessons he learned from his mother, and the values of the Sikh religion, a man sets out on a mission to serve humanity.",01-12-2017
s6669,Movie,ek cup chya,"sumitra bhave, sunil sukthankar","kishore kadam, ashwini giri, kamal desai, devika daftardar, sunil sukthankar, shriram ranade, padmanabh bind",india,2018-03-15,2009,tv-pg,2h,"dramas, independent movies, international movies",A poor bus conductor's efforts at obtaining information about his enormous electricity bill are hindered by a corrupt system.,15-03-2018
s6670,Movie,ek hasina thi,sriram raghavan,"saif ali khan, urmila matondkar, seema biswas, pratima kazmi, aditya srivastava, rasika joshi, madan joshi, seema adhikari",india,2019-08-01,2004,tv-ma,2h 14m,"dramas, international movies, thrillers","Imprisoned for underworld crimes she didn’t commit, a vengeful woman breaks free and goes scorched earth on the smooth-talking suitor who framed her.",01-08-2019
s6671,Movie,el último testigo,philipp stölzl,"aaron eckhart, liana liberato, olga kurylenko, garrick hagon, eric godon, yassine fadel, neil napier, david bark-jones, alexander fehling, nick alachiotis, jade hassouné","usa, canada, belgium, uk",2018-02-04,2012,r,1h 45m,action & adventure,A security expert and ex-CIA agent living in Belgium must go on the run with his estranged teen daughter when they're both marked for assassination.,04-02-2018
s6672,TV Show,el barco,none,"juanjo artero, mario casas, blanca suárez, irene montalà, luis callejo, neus sanz, juan pablo shuk, ivan massagué, marina salas, bernabé fernández, javier hernández, patricia arbúes, david seijo, giselle calderón",spain,2017-07-01,2013,nr,3 Seasons,"international tv shows, romantic tv shows, spanish-language tv shows",Forty young crew members traveling aboard a training vessel are in for the adventure of a lifetime – especially when a storm leaves them lost at sea.,01-07-2017
s6673,TV Show,el cartel,none,"manolo cardona, karen martínez, robinson díaz, diego cadavid, fernando solórzano, julian arango, sandra reyes, juan pablo raba, fernando arévalo",colombia,2018-08-24,2008,tv-ma,1 Season,"crime tv shows, international tv shows, spanish-language tv shows",One man makes a fateful decision to get involved with a Colombian drug cartel in this series based on a novel by Andrés López López.,24-08-2018
s6674,TV Show,el cartel 2,none,"diego cadavid, robinson díaz, patricia manterola, carolina guerra, john álex toro, luis eduardo arango, alejandro martínez, juan sebastián aragón, víctor mallarino, santiago moure, carlos echavarría, john gertz",colombia,2018-08-24,2010,tv-ma,1 Season,"crime tv shows, international tv shows, spanish-language tv shows",Drug trafficker Pepe Cadena navigates the treacherous waters of warring cartels in Mexico and Colombia while avoiding capture by the DEA and police.,24-08-2018
s6675,TV Show,el chavo,none,"roberto gómez bolaños, maría antonieta de las nieves, carlos villagrán, florinda meza garcía, angelines fernández abad, rubén aguirre fuentes, edgar vivar, ramón gómez valdez de castillo",mexico,2017-12-31,1979,tv-pg,1 Season,"classic & cult tv, kids' tv, spanish-language tv shows","El Chavo is a poor, nameless orphan who lives in an apartment building with La Chilindrina, Quico, Doña Florinda, Don Ramón and Professor Jirafales.",31-12-2017
s6676,Movie,el che,matías gueilburt,paco ignacio taibo ii,venezuela,2017-10-15,2017,tv-14,1h 59m,"documentaries, international movies","Spanish-Mexican writer Paco Ignacio Taibo II hits the road to trace the footsteps of Ernesto ""Che"" Guevara and sheds new light on the revolutionary.",15-10-2017
s6677,TV Show,el clon,none,"mauricio ochmann, sandra echeverría, saúl lisazo, roberto moll, geraldine zivic, andrea lópez, juan pablo raba, daniel lugo",usa,2017-05-18,2010,tv-14,1 Season,"romantic tv shows, spanish-language tv shows, tv dramas","Religion thwarted Lucas and Jade's young love. They reunite decades later, but Jade's heart is torn between the man she knew and his younger clone.",18-05-2017
s6678,Movie,el fin de eta,justin webster,none,spain,2017-04-08,2017,tv-14,1h 46m,"documentaries, international movies","This documentary chronicles the decade-long process that led to the end of the ETA, a Basque terrorist group that operated for more than 50 years.",08-04-2017
s6679,TV Show,el vato,none,"el dasa, cristina rodlo, ricardo polanco, gustavo egelhaaf, mauricio martínez, itatí cantoral, arcelia ramírez, horacio castelo, fátima molina, leonardo daniel, giancarlo vidrio, mónica dionne, sebastián ferrat, mauricio isaac, aldo gallardo, julio casado, arnulfo reyes sanchez, josé maría de tavira, pablo bracho, patricio sebastián",usa,2018-02-24,2017,tv-ma,2 Seasons,"international tv shows, spanish-language tv shows, tv comedies","Regional Mexican singer El Vato and his friends struggle to succeed in the enticing but deceptive music world in Los Angeles, California.",24-02-2018
s6680,Movie,el viaje: márama y rombai,federico lemos,none,none,2017-10-18,2016,tv-pg,1h 19m,"children & family movies, documentaries, international movies",Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom.,18-10-2017
s6681,Movie,elephants dream 4 hour,bassam kurdali,"cas jansen, tygo gernandt",netherlands,2018-08-23,2006,tv-ma,3h 16m,"international movies, sci-fi & fantasy","Friends Proog and Emo live in a capricious, seemingly infinite machine with a sinister purpose in this experimental computer-animated short.",23-08-2018
s6682,Movie,elizabeth at 90: a family tribute,john bridcut,none,uk,2017-05-22,2016,tv-g,1h 30m,documentaries,A blend of the royal family's intimate recollections and rarely seen home movies pays tribute to Queen Elizabeth II on the eve of her 90th birthday.,22-05-2017
s6683,Movie,elizabeth harvest,sebastian gutierrez,"abbey lee, ciarán hinds, carla gugino, matthew beard, dylan baker",usa,2020-08-01,2019,r,1h 49m,"dramas, sci-fi & fantasy","When a young newlywed enters the one chamber in her husband’s mansion that’s off-limits, she faces the horrifying consequences of defying the rules.",01-08-2020
s6684,Movie,elles étaient en guerre (1914-1918),"fabien beziat, hugues nancy",nathalie baye,france,2017-12-31,2014,tv-14,1h 33m,"documentaries, international movies",Trace the overlapping journeys of exceptional women swept up in World War I and hear their tales of bravery on history's front lines.,31-12-2017
s6685,Movie,elles étaient en guerre 1939-1945,"hugues nancy, fabien beziat",none,none,2018-03-01,2015,tv-ma,1h 32m,"documentaries, international movies","Mothers, nurses, soldiers and deportees – these women fought against persecution for freedom and survival amid the turbulence of World War II.",01-03-2018
s6686,Movie,elles ont toutes une histoire,nils tavernier,none,none,2017-12-31,2016,tv-pg,49m,"documentaries, international movies","From Asia, Africa and Latin America, five women share extraordinary stories of strength and determination in the face of violence and inequality.",31-12-2017
s6687,Movie,elstree 1976,jon spira,"paul blake, jeremy bulloch, john chapman, anthony forrest, laurie goode, garrick hagon, derek lyons, angus macinnes, david prowse, pam rose",uk,2016-09-06,2015,tv-pg,1h 42m,documentaries,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",06-09-2016
s6688,Movie,emelie,michael thelin,"sarah bolger, joshua rush, carly adams, thomas bair, susan pourfar, chris beetem",usa,2018-08-02,2016,tv-ma,1h 22m,"horror movies, thrillers","A suburban couple hires a new sitter to watch their three kids for the night, unaware that the young woman isn't who she claims to be.",02-08-2018
s6689,Movie,emma' (mother),riri riza,"cut mini theo, christoffer nelwan, arman dewarti, jajang c. noer, indah permatasari, dimi cindyastira, irmawati jabbar, andreuw parinussa, fanesa kayla",indonesia,2018-10-05,2016,tv-pg,1h 14m,"dramas, international movies","In 1950s Makassar, the life of a devoted mother is upended when another woman enters her husband's life.",05-10-2018
s6690,Movie,emo the musical,neil triffett,"benson jack anthony, jordan hare, rahart adams, jon prasida, lucy barrett, ben bennett, craig hyde-smith, geraldine viswanathan, kevin clayette, bridie carter",australia,2018-02-01,2016,tv-ma,1h 34m,"dramas, international movies, music & musicals","Expelled from private school for attempted suicide, emo Ethan enters the world of Seymour High and meets a cute Christian who's ready to convert him.",01-02-2018
s6691,TV Show,emogenius,none,hunter march,usa,2018-12-15,2017,tv-pg,1 Season,reality tv,"Two pairs of contestants go head-to-head for several rounds, deciphering puzzles and messages comprised of emojis for a chance at a $10,000 prize.",15-12-2018
s6692,Movie,empire of scents,kim nguyen,none,"canada, france, italy, morocco, usa",2018-01-01,2014,tv-14,1h 27m,"documentaries, international movies",This documentary explores the extent to which our sense of smell directs our survival instincts and enriches our sensual experiences.,01-01-2018
s6693,Movie,employee of the month,greg coolidge,"dane cook, jessica simpson, dax shepard, andy dick, tim bagley, brian george, efren ramirez, marcello thedford, danny woodburn, harland williams",usa,2020-10-01,2006,pg-13,1h 48m,"comedies, romantic movies",Warehouse workers Vince and Zack compete in a full-on war to be named Employee of the Month and win a date with their dream girl.,01-10-2020
s6694,TV Show,encerrados,none,"luis machín, maria merlino, fabián vena, ana chalentano, nelly prince, victor laplace, silvia pérez, pilar gamboa, alberto ajaka, fabio alberti, martin slipak, martín piroyansky, paula ransenberg",none,2018-06-18,2018,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv comedies","This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally.",18-06-2018
s6695,Movie,encounter: the killing,ajay phansekar,"naseeruddin shah, tara deshpande, akash khurana, ratna pathak shah, dilip prabhavalkar, avtar gill",india,2019-12-31,2002,tv-14,2h 31m,"dramas, independent movies, international movies","After accidentally killing a young mobster, a guilt-stricken police officer searches for the parents who never came forward to claim their son's body.",31-12-2019
s6696,TV Show,encounters with evil,none,richard lintern,uk,2019-07-12,2016,tv-14,1 Season,"british tv shows, crime tv shows, docuseries","This documentary series tries to get at the root of some of the most heinous crimes ever committed by deranged, cold-blooded criminals.",12-07-2019
s6697,Movie,end of watch,david ayer,"jake gyllenhaal, michael peña, natalie martinez, anna kendrick, david harbour, frank grillo, america ferrera, cle sloan, jaime fitzsimons, cody horn, shondrella avery, america ferrara",usa,2019-11-23,2012,r,1h 49m,action & adventure,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.",23-11-2019
s6698,TV Show,enemigo íntimo,none,"raúl méndez, fernanda castillo, matias novoa, guillermo quintanilla, leonardo daniel, otto sirgo, alejandro speitzer, armando hernández, valentina acosta, elvira monsell",none,2018-08-08,2018,tv-ma,1 Season,"crime tv shows, spanish-language tv shows, tv dramas","Siblings separated as children who no longer recognize each other are pitted against each other in a war involving drugs, crime and betrayal.",08-08-2018
s6699,Movie,enemy,denis villeneuve,"jake gyllenhaal, mélanie laurent, sarah gadon, isabella rossellini, joshua peace, tim post","canada, spain, france",2018-07-15,2013,r,1h 31m,"independent movies, thrillers","When a humdrum academic spots his double in a movie, he launches a search that leads him to a small-time actor who looks exactly like him.",15-07-2018
s6700,Movie,enlighten us,jenny carchman,james arthur ray,usa,2017-01-18,2016,tv-14,1h 33m,documentaries,This documentary digs deep to recount the saga of the superstar self-help guru convicted of negligent homicide in the deaths of three followers.,18-01-2017
s6701,Movie,entanglement,jason james,"thomas middleditch, jess weixler, diana bang, randal edwards, marilyn norry, johannah newmarch, nicole laplaca",canada,2018-12-09,2018,tv-ma,1h 25m,"dramas, independent movies, romantic movies","After his ailing father makes a shocking confession, a desperately depressed man sets out to find the woman he believes will change his destiny.",09-12-2018
s6702,Movie,enter the dragon,robert clouse,"bruce lee, john saxon, jim kelly, ahna capri, kien shih, robert wall, angela mao, betty chung, geoffrey weeks, bolo yeung, peter archer","hong kong, usa",2021-01-01,1973,r,1h 43m,"action & adventure, classic movies","Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord.",01-01-2021
s6703,Movie,equals,drake doremus,"nicholas hoult, kristen stewart, jacki weaver, guy pearce, rebecca hazlewood, scott lawrence, kai lennox, rizwan manji","usa, indonesia",2018-10-28,2015,pg-13,1h 42m,"dramas, romantic movies, sci-fi & fantasy",Two young lovers depart from the norm simply by having romantic feelings for each other in a society where humans have been relieved of all emotions.,28-10-2018
s6704,Movie,equilibrium,kurt wimmer,"christian bale, emily watson, taye diggs, angus macfadyen, sean bean, sean pertwee, matthew harbour, william fichtner",usa,2019-06-08,2002,r,1h 47m,"action & adventure, dramas, sci-fi & fantasy","In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death.",08-06-2019
s6705,Movie,"escape from the ""liberty"" cinema",wojciech marczewski,"janusz gajos, zbigniew zamachowski, teresa marczewska, piotr fronczewski, władysław kowalski, michał bajor, jan peszek, jerzy bińczycki",poland,2019-10-01,1990,tv-ma,1h 28m,"comedies, dramas, independent movies","Artistic rebellion ignites at the movies when film characters suddenly speak freely to the audience, prompting a surly censor to combat the uprising.",01-10-2019
s6706,Movie,esperando la carroza,alejandro doria,"luis brandoni, china zorrilla, antonio gasalla, julio de grazia, betiana blum, monica villa, juan manuel tenuta, andrea tenuta, cecilia rossetto, enrique pinti",argentina,2018-07-15,1985,nr,1h 35m,"comedies, cult movies, international movies",Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?,15-07-2018
